;Code;Désignation courte;Famille;Prix de vente HT;Prix de vente TTC;Stock théorique;Stock réel;Qté en cde client;Qté en cde fournisseur;Bloqué;Compte Vente Local;Désignation longue;Code TVA;Bloqué
1;ART2756; Canon 2884C001 PFI-120 MBK 130 ml;FA0017;74,90  EUR;89,88  EUR;;;;;;707401; Canon 2884C001 PFI-120 MBK 130 ml;3;
2;ART2757; Canon 2885C001 PFI-120 BK 130 ml;FA0017;74,90  EUR;89,88  EUR;;;;;;707401; Canon 2885C001 PFI-120 BK 130 ml;3;
3;ART2758; Canon 2886C001 PFI-120 C 130 ml;FA0017;74,90  EUR;89,88  EUR;;;;;;707401; Canon 2886C001 PFI-120 C 130 ml;3;
4;ART2759; Canon 2887C001 PFI-120 M 130 ml ;FA0017;74,90  EUR;89,88  EUR;;;;;;707401; Canon 2887C001 PFI-120 M 130 ml ;3;
5;ART2772; Canon Socle Double Cassettes-AW1 D;FA0017;550,00  EUR;660,00  EUR;-1,000;-1,000;;;;707401; Canon Socle Double Cassettes-AW1 DX38XX;3;
6;ART1460; DELL Station d'accueil;FA0013;219,00  EUR;262,80  EUR;-3,000;-1,000;3,000;1,000;;707101;DELL, Station d'accueil, Interfaces 2 x affichage / vidéo - DisplayPort - DisplayPort 20 broches, 1 x affichage / vidéo - HDMI - HDMI de 19 broches de type A, 1 x USB-C, 3 x USB 3.1 Gen 1, 2 x USB-C 3.1, 1 x casque micro - sortie - mini-phone 3,5 mm, 1 x haut-parleurs - sortie - mini-phone 3,5 mm, 1 x réseau - RJ-45, Dimensions (LxPxH) 20.5 x 9 x 2.9 cm, Poids 585 g, Garantie 3 ans  Information pour nous :  Matériel inclus :  1 x câble USB-C - 1 m;3;
7;ART2216; Disque Dur  870 QVO 4To SSD;FA0008;329,00  EUR;394,80  EUR;-1,000;-1,000;;;;707101;"SAMSUNG, Disque dur interne, Capacité 4 To SSD, Format 2.5"", Interface 1 x SATA 6 Gb/s - ATA série de 7 broches, Dimensions (LxPxH) 6,98 x 10 x 0,68 cm, Poids 54g, Garantie 3 ans  Information pour nous :  Matériel inclus :  1 x câble USB";3;
8;ART2508; Dual Rank x8 PC3L-10600E (DDR3-133;FA0015;79,00  EUR;94,80  EUR;-1,000;-1,000;;;;707102;Dual Rank x8 PC3L-10600E (DDR3-1333) Unbuffered ECC Produits de seconde main, Garantie 1 an  ;3;
9;ART2496; Haut-Parleur Petit Professionnel;;10,99  EUR;13,19  EUR;-7,000;-5,000;2,000;;;707101;"Haut-Parleur d'Ordinateur Petit Professionnel Jack Universel 3,5mm ; Couleur: Blanc Puissance: 3W";3;
10;ART2457; Housse d'ordinateur portable - 13 ;FA0013;10,00  EUR;12,00  EUR;-1,000;-1,000;;;;707101;Urban Factory - Housse d'ordinateur portable - 13 - 14 - noir - Garantie 2 ans;3;
11;ART2832; HP écran LED - 21.45;FA0011;112,69  EUR;135,23  EUR;-6,000;-5,000;1,000;;;707101;HP P22v G5 - P-Series - écran LED - 21.45 - 1920 x 1080 Full HD (1080p) @ 75 Hz - VA - 200 cd/m_ - 3000:1 - 5 ms - HDMI, VGA - noir - Garantie 1 an  Information pour nous :  Câble inclus :  1 x câble VGA (1.5 m);3;
12;ART0419; HP Station d'accueil pour probook;FA0013;189,00  EUR;226,80  EUR;-1,000;-17,000;;16,000;;707101;HP - Essential - station d'accueil - USB-C - HDMI, 2 x DP Garantie 1 an ;3;
13;ART1363; HUAWEI Clé 4G;FA0012;79,00  EUR;94,80  EUR;-19,000;-27,000;1,000;9,000;;707104;HUAWEI, Clé 4G, Vitesse du processeur 1 GHz, Garantie 2 ans;3;
